name,website,instagram_handle
Anavila,https://www.anavila.com,anavila_m
Bhaane,https://www.bhaane.com,bhaane
Lereve,https://lerevelife.com,lereve.Life
SilayiBazi,https://silayibazi.in,silayibazi
Diamondlady,https://diamondlady.in,diamondlady.in
Clofii,https://clofii.com,clofii_
Evara,https://evara.me,evaraclothing_
NEF'S finds,https://nefsfinds.com,nefsfinds
Blissclub,https://blissclub.com,myblissclub
CAVA,https://cavaathleisure.com,cava_athleisure
House of Sal,https://houseofsal.com,houseofsal_
Crayy Heads,https://crayyheads.com,crayy.heads
shop mauve,https://www.shopmauve.in,shopemauve.in
Obleka,https://www.obleka.in,oblelka.in
LABEL CRIMSONMUSE,https://labelcrimsonmuse.com,label.crimsonmuse
DIRIS,https://shopdiris.com,shopdiris
Lazo Store,https://lazostore.in,lazostore.in
VIRGIO,https://www.virgio.com,virgio.official
NABA,https://labelnaba.in,labelnaba
ENDLESS SUMMER,https://labelnaba.in,endlesssummer.shop
The Label Jenn,https://www.thelabeljenn.com,thelabel.jenn
Basata,https://www.basata.co.in,thebasata
Moonstruck,http://mymoonstruck.com,moonstruckbyss
Summer away,https://summeraway.in,summeraway
Tag The Label,https://tagthelabel.in,tagthelabel.in
Sajke,https://sajke.in,sajke.in
Sage by mala,https://sagebymala.com,sagebymala
Style Island,https://www.styleisland.com,styleislandofficial
ADAGIO,https://adagio.in,adagio.apparel
The Fancy Pastels,https://fancypastels.com,fancypastelsindia
House of Mae,https://www.houseofmae.shop,houseofmae.shop
Blomas,https://blomas.in,blomas.shop
Urban Suburban,https://urbansuburban.in,in.urbansuburban
Drawn,https://shopdrawn.com,shopdrawn
Ani clothing,https://www.aniclothing.in,aniclothing.in
Nobero,https://nobero.com,noberodotcom
Ecoright,https://ecoright.com,ecoright
